Nombre,Nacionalidad,Club
Malick Thiaw,Alemania,AC Milan
Malick Thiaw,Alemania,Arsenal
Sven Botman,Paises Bajos,Ajax
Sven Botman,Paises Bajos,Lille
Sven Botman,Paises Bajos,Newcastle
Fabian Schar,Suiza,Newcastle
Dan Burn,Inglaterra,Newcastle
Kieran Trippier,Inglaterra,Tottenham
Kieran Trippier,Inglaterra,Atletico Madrid
Kieran Trippier,Inglaterra,Newcastle
Emil Krafth,Suecia,Newcastle
Sandro Tonali,Italia,AC Milan
Sandro Tonali,Italia,Newcastle
Jacob Ramsey,Inglaterra,Aston Villa
Jacob Ramsey,Inglaterra,Newcastle
Joelinton,Brasil,Newcastle
Lewis Miley,Inglaterra,Newcastle
Joe Willock,Inglaterra,Arsenal
Joe Willock,Inglaterra,Newcastle
Anthony Gordon,Inglaterra,Newcastle
Harvey Barnes,Inglaterra,Newcastle
Anthony Elanga,Suecia,Manchester United
Anthony Elanga,Suecia,Newcastle
Jacob Murphy,Inglaterra,Newcastle
Nick Woltemade,Alemania,Newcastle
Nick Woltemade,Dinamarca,Newcastle
Marco Bizot,Paises Bajos,Aston Villa
Ezri Konsa,Inglaterra,Aston Villa
Pau Torres,Espana,Aston Villa
Victor Lindelof,Suecia,Benfica
Victor Lindelof,Suecia,Manchester United
Victor Lindelof,Suecia,Aston Villa
Tyrone Mings,Inglaterra,Aston Villa
Ian Maatsen,Paises Bajos,Chelsea
Ian Maatsen,Paises Bajos,Borussia Dortmund
Ian Maatsen,Paises Bajos,Aston Villa
Lucas Digne,Francia,Lille
Lucas Digne,Francia,Roma
Lucas Digne,Francia,PSG
Lucas Digne,Francia,Barcelona
Lucas Digne,Francia,Aston Villa
Matty Cash,Polonia,Aston Villa
Andres Garcia,Espana,Aston Villa
Amadou Onana,Belgica,Aston Villa
Amadou Onana,Belgica,Lille
Boubacar Kamara,Francia,Marsella
Boubacar Kamara,Francia,Aston Villa
Lamare Bogarde,Paises Bajos,Aston Villa
Youri Tielemans,Belgica,Monaco
Youri Tielemans,Belgica,Aston Villa
Douglas Luiz,Brasil,Manchester City
Douglas Luiz,Brasil,Aston Villa
Douglas Luiz,Brasil,Juventus
John McGinn,Escocia,Aston Villa
Ross Barkley,Inglaterra,Chelsea
Ross Barkley,Inglaterra,Aston Villa
Morgan Rogers,Inglaterra,Aston Villa
Harvey Elliott,Inglaterra,Liverpool
Harvey Elliott,Inglaterra,Aston Villa
Emiliano Buendia,Argentina,Leverkusen
Emiliano Buendia,Argentina,Aston Villa
Jadon Sancho,Inglaterra,Manchester United
Jadon Sancho,Inglaterra,Borussia Dortmund
Jadon Sancho,Inglaterra,Chelsea
Jadon Sancho,Inglaterra,Aston Villa
Alysson,Brasil,Aston Villa
Ollie Watkins,Inglaterra,Aston Villa
Tammy Abraham,Inglaterra,Chelsea
Tammy Abraham,Inglaterra,Aston Villa
Tammy Abraham,Inglaterra,Roma
Tammy Abraham,Inglaterra,AC Milan
Dean Henderson,Inglaterra,Manchester United
Dean Henderson,Inglaterra,Crystal Palace
Walter Benitez,Argentina,PSV
Walter Benitez,Argentina,Crystal Palace
Remi Matthews,Inglaterra,Crystal Palace
Maxence Lacroix,Francia,Crystal Palace
Chris Richards,Estados Unidos,Bayern Munich
Chris Richards,Estados Unidos,Crystal Palace
Jaydee Canvot,Francia,Crystal Palace
Chadi Riad,Marruecos,Barcelona
Chadi Riad,Marruecos,Crystal Palace
Tyrick Mitchell,Inglaterra,Crystal Palace
Borna Sosa,Croacia,Ajax
Borna Sosa,Croacia,Crystal Palace
Caleb Kporha,Inglaterra,Crystal Palace
Nathaniel Clyne,Inglaterra,Liverpool
Nathaniel Clyne,Inglaterra,Crystal Palace
Kaden Rodney,Inglaterra,Crystal Palace
Will Hughes,Inglaterra,Crystal Palace
Daichi Kamada,Japon,Crystal Palace
Ismaila Sarr,Senegal,Marsella
Ismaila Sarr,Senegal,Crystal Palace
Jeremy Pino,Espana,Crystal Palace
Brennan Johnson,Inglaterra,Tottenham
Brennan Johnson,Inglaterra,Crystal Palace
Jorgen Strand Larsen,Noruega,Crystal Palace
Jean-Philippe Mateta,Francia,Lyon
Jean-Philippe Mateta,Francia,Crystal Palace
Philipp Kohn,Suiza,Monaco
Thilo Kehrer,Alemania,PSG
Thilo Kehrer,Alemania,Monaco
Christian Mawissa,Francia,Monaco
Wout Faes,Belgica,Monaco
Eric Dier,Inglaterra,Sporting
Eric Dier,Inglaterra,Tottenham
Eric Dier,Inglaterra,Bayern Munich
Eric Dier,Inglaterra,Monaco
Caio Henrique,Brasil,Fluminense
Caio Henrique,Brasil,Monaco
Caio Henrique,Brasil,Atletico Madrid
Kassoum Ouattara,Francia,Monaco
Vanderson,Brasil,Monaco
Jordan Teze,Paises Bajos,PSV
Jordan Teze,Paises Bajos,Monaco
Denis Zakaria,Suiza,Juventus
Denis Zakaria,Suiza,Chelsea
Denis Zakaria,Suiza,Monaco
Aladji Bamba,Francia,Monaco
Lamine Camara,Senegal,Monaco
Paul Pogba,Francia,Manchester United
Paul Pogba,Francia,Juventus
Paul Pogba,Francia,Monaco
Krepin Diatta,Senegal,Monaco
Stanis Idumbo,Belgica,Monaco
Ansu Fati,Espana,Barcelona
